"gene"	"log2FC"	"pval"	"adjp"
"MINCR"	"-0.182965071819267"	"4.86095372326506e-05"	7.91487321737364e-05
"HUWE1"	"-0.106932629223104"	"4.86783593564536e-05"	7.92349995121969e-05
"AGPAT4"	"0.221150267369026"	"4.91627070256331e-05"	7.99973521607732e-05
"CBL"	"-0.110643933057255"	"4.96516207782161e-05"	8.07666364658982e-05
"CHST11"	"-0.0914576657398496"	"4.97921547368643e-05"	8.09689070200895e-05
"PIGB"	"0.0845438322671371"	"5.01451410233919e-05"	8.15164105944122e-05
"GSK3A"	"-0.125230332838879"	"5.02160223271505e-05"	8.1578611133617e-05
"LZTFL1"	"-0.20179212654973"	"5.02160223271505e-05"	8.1578611133617e-05
"PIM3"	"-0.352566742475936"	"5.10020103985906e-05"	8.2828589614854e-05
"SLC35E3"	"-0.140292789532826"	"5.136311935571e-05"	8.3360909479968e-05
"DMPK"	"-0.11935170744455"	"5.136311935571e-05"	8.3360909479968e-05
"BCL10"	"-0.119470231900293"	"5.29809808085604e-05"	8.59587628947191e-05
"CKAP5"	"-0.111006509811086"	"5.32802779212164e-05"	8.64163262522453e-05
"PAX5"	"-3.81783060838517"	"5.39082112567921e-05"	8.74064417200888e-05
"SEC24B"	"-0.109815745190216"	"5.43404832680787e-05"	8.80787742407419e-05
"LPAR6"	"-0.171477336539839"	"5.4493562961015e-05"	8.82982837482983e-05
"CWF19L2"	"-0.117662441381691"	"5.59683390590237e-05"	9.06585595768253e-05
"URGCP"	"-0.132817339883215"	"5.62046266678877e-05"	9.10118299102539e-05
"TPST2"	"-0.106305284630416"	"5.71592599450665e-05"	9.2527708169975e-05
"CCP110"	"-0.14928100266538"	"5.7885291797259e-05"	9.36726721351956e-05
"SOCS2"	"-0.310997253436172"	"5.94468085750488e-05"	9.61684788138403e-05
"ZBTB41"	"-0.205071223687245"	"5.99481498604595e-05"	9.69481557070865e-05
"THRA"	"-0.137373768276608"	"6.02845987464118e-05"	9.74607507852462e-05
"LCORL"	"-0.135674270908456"	"6.23411409747633e-05"	0.000100752952231265
"RBM4B"	"-0.126626054742543"	"6.26902902183339e-05"	0.000101284506354039
"SGTB"	"-0.318295231899227"	"6.33941497250674e-05"	0.00010238861379554
"FMR1"	"-0.0956459962388164"	"6.36600205151182e-05"	0.000102784836222279
"ABCD4"	"-0.122162581268899"	"6.41054854244866e-05"	0.000103470680249526
"GNB1"	"-0.0764508732278636"	"6.42844962074804e-05"	0.000103726145170909
"YIPF6"	"-0.135638630034226"	"6.52775432520174e-05"	0.000105260564586264
"STRADA"	"-0.144537134965582"	"6.52775432520174e-05"	0.000105260564586264
"AL445524.1"	"-0.220531902324206"	"6.59154623945425e-05"	0.000106254960650178
"KMT2C"	"-0.0738010369868856"	"6.64698626788373e-05"	0.000107114127937997
"SLC11A2"	"-0.18332599882033"	"6.76827716223413e-05"	0.000109033566394509
"ARAP2"	"-0.0567528060782848"	"6.82496120626572e-05"	0.000109875944492247
"TRIM23"	"-0.142500315730209"	"6.82496120626572e-05"	0.000109875944492247
"SFXN3"	"-0.136058524889324"	"6.91083015619035e-05"	0.00011122256255233
"PCDH9"	"-4.67454479020001"	"7.04016830599458e-05"	0.000113267680497217
"AP5B1"	"-0.222067701459657"	"7.16467426104924e-05"	0.000115233764160027
"AP2B1"	"-0.0914700292116246"	"7.17461148492342e-05"	0.000115356498385043
"AC015982.1"	"0.136582273018634"	"7.18456174513538e-05"	0.000115479363268532
"DCP1A"	"-0.0906219190032975"	"7.21449090404568e-05"	0.000115923172187718
"RBM7"	"0.114783313137151"	"7.32524320548926e-05"	0.000117664953480595
"ANKRA2"	"-0.100276132102483"	"7.40679827277792e-05"	0.000118936773548749
"PIEZO1"	"-0.113916321486462"	"7.43760222632661e-05"	0.00011939308836998
"GRAMD4"	"0.178268569723582"	"7.44789519540435e-05"	0.000119481659158392
"BX284668.5"	"-0.214174198785606"	"7.44789710627483e-05"	0.000119481659158392
"FBXO3"	"-0.0813066499831068"	"7.53074264212718e-05"	0.000120771961192434
"N4BP2"	"-0.18017004710145"	"7.74168545479583e-05"	0.000124115098220797
